154,95,18,48
149,94,18,48
145,95,18,48
140,91,18,48
135,89,18,48
132,89,18,48
130,87,18,48
127,86,18,48
125,85,18,48
123,84,18,48
120,85,18,48
117,85,18,48
112,84,18,48
107,84,18,48
101,83,18,48
96,84,18,48
89,83,18,48
80,86,18,48
70,85,18,48
61,82,18,48
54,81,18,48
49,81,18,48
45,81,18,48
41,77,18,48
36,80,18,48
33,79,18,48
29,79,18,48
26,79,18,48
23,80,18,48
20,80,18,48
17,79,18,48
13,78,18,48
11,77,18,48
8,77,18,48
5,78,18,48
7,81,18,48
13,78,18,48
15,75,18,48
10,75,18,48
24,77,18,48
21,74,18,48
15,74,18,48
10,74,18,48
10,74,18,48
7,75,18,48
21,77,18,48
16,77,18,48
12,72,18,48
8,93,18,48
6,92,18,48
17,94,18,48
23,92,18,48
18,89,18,48
11,89,18,48
17,87,18,48
10,87,18,48
8,84,18,48
20,77,18,48
6,74,18,48
21,96,18,48
33,82,18,48
22,81,18,48
15,79,18,48
9,77,18,48
5,81,18,48
5,79,18,48
16,71,18,48
25,64,18,48
27,69,18,48
23,67,18,48
23,66,18,48
19,66,18,48
15,68,18,48
10,67,18,48
4,67,18,48
1,60,18,48
7,78,18,48
3,62,18,48
7,67,18,48
3,64,18,48
22,69,18,48
14,67,18,48
6,61,18,48
10,60,18,48
11,74,18,48
-1,82,18,48
1,67,18,48
1,68,18,48
1,69,18,48
19,88,18,48
13,83,18,48
36,79,18,48
26,73,18,48
16,77,18,48
8,76,18,48
29,87,18,48
18,74,18,48
28,74,18,48
17,72,18,48
9,71,18,48
9,73,18,48
8,75,18,48
11,85,18,48
12,90,18,48
11,88,18,48
15,92,18,48
8,92,18,48
8,92,18,48
2,92,18,48
14,88,18,48
9,88,18,48
9,89,18,48
23,89,18,48
14,89,18,48
21,88,18,48
8,82,18,48
11,79,18,48
10,83,18,48
8,84,18,48
24,90,18,48
15,87,18,48
5,90,18,48
21,100,18,48
14,101,18,48
4,103,18,48
-1,104,18,48
-2,105,18,48
-3,106,18,48
-5,105,18,48
11,109,18,48
6,104,18,48
16,101,18,48
12,100,18,48
9,99,18,48
29,97,18,48
30,96,18,48
26,95,18,48
21,95,18,48
14,93,18,48
8,93,18,48
8,88,18,48
9,102,18,48
18,100,18,48
9,103,18,48
8,95,18,48
13,99,18,48
3,113,18,48
26,105,18,48
15,94,18,48
1,107,18,48
18,120,18,48
15,124,18,48
11,128,18,48
7,126,18,48
6,124,18,48
1,123,18,48
-6,128,18,48
-6,127,18,48
-2,121,18,48
-3,122,18,48
-5,116,18,48
-4,124,18,48
1,108,18,48
-5,110,18,48
-5,133,18,48
-6,141,18,48
-5,141,18,48
-5,141,18,48
-6,145,18,48
-6,141,18,48
-3,144,18,48
-5,144,18,48
-6,146,18,48
-6,141,18,48
-6,144,18,48
-5,144,18,48
-5,144,18,48
-5,144,18,48
-6,145,18,48
-5,150,18,48
-5,143,18,48
-6,147,18,48
-6,150,18,48
-5,151,18,48
-5,151,18,48
-5,152,18,48
-5,163,18,48
-5,163,18,48
-6,164,18,48
-5,164,18,48
-6,164,18,48
-6,164,18,48
-5,164,18,48
-6,165,18,48
-5,165,18,48
-6,163,18,48
-6,164,18,48
-6,163,18,48
-6,157,18,48
-5,158,18,48
-6,153,18,48
-6,153,18,48
-5,153,18,48
-5,151,18,48
-5,150,18,48
-6,155,18,48
-5,159,18,48
-6,159,18,48
-6,163,18,48
-6,163,18,48
-4,157,18,48
-6,148,18,48
-5,145,18,48
-5,150,18,48
-5,148,18,48
-6,148,18,48
-5,148,18,48
-6,153,18,48
-6,154,18,48
-5,154,18,48
-6,155,18,48
-5,155,18,48
-5,156,18,48
-6,157,18,48
-5,157,18,48
-5,158,18,48
-5,158,18,48
-5,157,18,48
-5,158,18,48
-6,158,18,48
-6,157,18,48
-6,157,18,48
-5,157,18,48
-5,156,18,48
-6,156,18,48
-5,156,18,48
-5,156,18,48
-6,156,18,48
-6,154,18,48
-5,153,18,48
-5,153,18,48
-6,153,18,48
-6,153,18,48
-5,152,18,48
-6,152,18,48
-5,151,18,48
-5,145,18,48
-5,145,18,48
-5,145,18,48
-5,145,18,48
-5,145,18,48
-6,150,18,48
-6,146,18,48
-6,147,18,48
-5,148,18,48
-5,149,18,48
-5,150,18,48
-5,149,18,48
-5,150,18,48
-6,149,18,48
-5,150,18,48
-5,150,18,48
-6,150,18,48
-6,150,18,48
-5,150,18,48
-6,149,18,48
-6,151,18,48
-5,149,18,48
-5,148,18,48
-6,147,18,48
-5,148,18,48
